Date,Confirmed,Deaths,Recovered,Active,Notifications,Negative,UnderInvestigation,UnderInvestigationDeaths,URCOccupancy,NewCases,NewDeaths,NewNegative,NewNotifications,NewInvestigation,NegativeRate
2020-03-30 00:00:00,0,,,,55,10,45,1.0,,,,,,,0.18181818181818182
2020-04-01 00:00:00,3,,,,73,10,60,0.0,,3.0,,0.0,18.0,-1.0,0.136986301369863
2020-04-06 00:00:00,3,,,,86,10,73,1.0,,0.0,,0.0,13.0,1.0,0.11627906976744186
2020-04-08 00:00:00,3,,,,97,31,63,1.0,,0.0,,21.0,11.0,0.0,0.31958762886597936
2020-04-09 00:00:00,6,1.0,,,100,57,37,1.0,,3.0,,26.0,3.0,0.0,0.57
2020-04-13 00:00:00,9,1.0,,,103,80,14,1.0,,3.0,0.0,23.0,3.0,0.0,0.7766990291262136
2020-04-14 00:00:00,12,1.0,,,108,88,8,1.0,,3.0,0.0,8.0,5.0,0.0,0.8148148148148148
2020-04-15 00:00:00,12,1.0,8.0,,110,90,8,1.0,,0.0,0.0,2.0,2.0,0.0,0.8181818181818182
2020-04-16 00:00:00,14,1.0,8.0,,110,90,6,1.0,,2.0,0.0,0.0,0.0,0.0,0.8181818181818182
2020-04-17 00:00:00,15,1.0,12.0,,116,91,10,1.0,,1.0,0.0,1.0,6.0,0.0,0.7844827586206896
2020-04-20 00:00:00,19,1.0,16.0,,135,99,17,,,4.0,0.0,8.0,19.0,,0.7333333333333333
2020-04-22 00:00:00,23,1.0,18.0,,147,103,21,,,4.0,0.0,4.0,12.0,,0.7006802721088435
2020-04-23 00:00:00,24,1.0,18.0,,157,106,27,,,1.0,0.0,3.0,10.0,,0.6751592356687898
2020-04-24 00:00:00,28,1.0,22.0,,210,110,72,,,4.0,0.0,4.0,53.0,,0.5238095238095238
2020-04-26 00:00:00,31,1.0,27.0,,247,127,89,,,3.0,0.0,17.0,37.0,,0.5141700404858299
2020-04-27 00:00:00,32,1.0,27.0,,251,129,90,,,1.0,0.0,2.0,4.0,,0.5139442231075697
2020-04-28 00:00:00,37,1.0,33.0,,264,142,85,,,5.0,0.0,13.0,13.0,,0.5378787878787878
2020-04-29 00:00:00,39,1.0,34.0,4.0,287,145,103,,,2.0,0.0,3.0,23.0,,0.5052264808362369
2020-04-30 00:00:00,40,1.0,35.0,4.0,292,160,92,,,1.0,0.0,15.0,5.0,,0.547945205479452
2020-05-01 00:00:00,48,1.0,43.0,4.0,306,175,83,,,8.0,0.0,15.0,14.0,,0.5718954248366013
2020-05-02 00:00:00,48,1.0,44.0,3.0,311,178,85,,,0.0,0.0,3.0,5.0,,0.572347266881029
2020-05-03 00:00:00,50,1.0,46.0,3.0,313,179,84,,,2.0,0.0,1.0,2.0,,0.5718849840255591
2020-05-04 00:00:00,53,1.0,47.0,5.0,315,181,81,,,3.0,0.0,2.0,2.0,,0.5746031746031746
2020-05-05 00:00:00,59,1.0,53.0,5.0,324,203,62,,,6.0,0.0,22.0,9.0,,0.6265432098765432
2020-05-06 00:00:00,63,1.0,54.0,4.0,343,216,64,,,4.0,0.0,13.0,19.0,,0.6297376093294461
2020-05-07 00:00:00,64,1.0,58.0,4.0,360,235,1,,,1.0,0.0,19.0,17.0,,0.6527777777777778
2020-05-10 00:00:00,70,1.0,62.0,4.0,387,247,70,,,6.0,0.0,12.0,27.0,,0.6382428940568475
2020-05-11 00:00:00,70,1.0,62.0,5.0,390,249,71,,,0.0,0.0,2.0,3.0,,0.6384615384615384
2020-05-12 00:00:00,74,2.0,64.0,4.0,418,258,86,,,4.0,1.0,9.0,28.0,,0.6172248803827751
2020-05-13 00:00:00,78,2.0,69.0,6.0,437,267,92,,,4.0,0.0,9.0,19.0,,0.6109839816933639
2020-05-14 00:00:00,81,2.0,72.0,5.0,459,274,104,,,3.0,0.0,7.0,22.0,,0.5969498910675382
2020-05-15 00:00:00,86,2.0,76.0,6.0,488,282,120,,,5.0,0.0,8.0,29.0,,0.5778688524590164
2020-05-16 00:00:00,90,3.0,78.0,5.0,512,297,125,,,4.0,1.0,15.0,24.0,,0.580078125
2020-05-17 00:00:00,92,3.0,79.0,5.0,524,301,131,,,2.0,0.0,4.0,12.0,,0.5744274809160306
2020-05-18 00:00:00,95,3.0,81.0,6.0,546,315,136,,,3.0,0.0,14.0,22.0,,0.5769230769230769
2020-05-19 00:00:00,98,3.0,85.0,6.0,555,333,124,,,3.0,0.0,18.0,9.0,,0.6
2020-05-20 00:00:00,107,3.0,90.0,8.0,612,349,156,,,9.0,0.0,16.0,57.0,,0.5702614379084967
2020-05-21 00:00:00,114,3.0,96.0,6.0,639,372,153,,,7.0,0.0,23.0,27.0,,0.5821596244131455
2020-05-22 00:00:00,122,3.0,101.0,8.0,653,381,150,,,8.0,0.0,9.0,14.0,,0.5834609494640123
2020-05-23 00:00:00,132,3.0,118.0,6.0,681,398,151,,,10.0,0.0,17.0,28.0,,0.5844346549192364
2020-05-24 00:00:00,139,3.0,122.0,8.0,693,405,149,,,7.0,0.0,7.0,12.0,,0.5844155844155844
2020-05-25 00:00:00,144,3.0,124.0,11.0,706,408,154,,,5.0,0.0,3.0,13.0,,0.5779036827195467
2020-05-26 00:00:00,156,5.0,133.0,12.0,723,421,146,,,12.0,2.0,13.0,17.0,,0.5822959889349931
2020-05-27 00:00:00,169,5.0,143.0,12.0,787,450,168,,,13.0,0.0,29.0,64.0,,0.5717916137229987
2020-05-28 00:00:00,184,5.0,156.0,14.0,801,471,146,,,15.0,0.0,21.0,14.0,,0.5880149812734082
2020-05-29 00:00:00,200,6.0,170.0,12.0,909,491,218,,,16.0,1.0,20.0,108.0,,0.5401540154015402
2020-05-30 00:00:00,211,8.0,183.0,10.0,1001,520,270,,,11.0,2.0,29.0,92.0,,0.5194805194805194
2020-05-31 00:00:00,216,10.0,191.0,8.0,1011,553,242,,,5.0,2.0,33.0,10.0,,0.5469831849653808
2020-06-01 00:00:00,221,11.0,192.0,12.0,1026,556,249,,,5.0,1.0,3.0,15.0,,0.5419103313840156
2020-06-02 00:00:00,238,13.0,207.0,10.0,1088,590,260,,,17.0,2.0,34.0,62.0,,0.5422794117647058
2020-06-03 00:00:00,260,13.0,228.0,8.0,1200,650,290,,,22.0,0.0,60.0,112.0,,0.5416666666666666
2020-06-04 00:00:00,278,13.0,248.0,8.0,1298,680,340,1.0,0.564,18.0,0.0,30.0,98.0,,0.5238828967642527
2020-06-05 00:00:00,302,14.0,270.0,10.0,1352,710,340,1.0,0.6,24.0,1.0,30.0,54.0,0.0,0.5251479289940828
